578	125	-8	-646	261	377	1110	136	-696	-108	3031	920	10	16	5
579	91	-4	-643	191	386	1143	107	-692	-81	3086	958	9	18	0
579	91	-4	-643	191	386	1143	107	-692	-81	3086	958	9	18	0
578	42	-13	-545	103	378	1165	66	-697	-28	3117	955	9	20	2
578	42	-13	-545	103	378	1165	66	-697	-28	3117	955	9	20	2
575	-1	-29	-421	43	364	1180	48	-695	-11	3061	986	9	18	4
571	-40	-40	-290	7	336	1180	70	-706	24	2947	992	12	16	3
571	-40	-40	-290	7	336	1180	70	-706	24	2947	992	9	17	4
562	-85	-38	-122	-36	287	1168	111	-734	-6	2853	999	9	16	6
562	-85	-38	-122	-36	287	1168	111	-734	-6	2853	999	9	16	6
560	-117	-21	7	-71	247	1146	150	-788	-53	2688	1001	10	20	6
572	-140	14	125	-99	213	1134	176	-869	-53	2688	1001	9	17	6
572	-140	14	125	-99	213	1134	176	-869	-67	2586	992	3	17	1
619	-166	84	266	-102	201	1130	180	-879	-86	2453	971	10	21	3
619	-166	84	266	-102	201	1130	180	-879	-86	2453	971	10	21	3
680	-193	161	365	-111	213	1131	158	-808	-79	2275	937	14	18	3
766	-229	258	463	-140	252	1107	135	-743	-29	2061	866	7	20	2
766	-229	258	463	-140	252	1107	135	-743	-29	2061	866	7	20	4
891	-261	413	611	-179	298	1073	146	-735	116	1848	778	9	19	4
891	-261	413	611	-179	298	994	178	-837	116	1848	778	14	21	4
995	-277	552	758	-141	333	994	178	-837	187	1527	655	8	21	1
1083	-288	689	931	-67	350	855	196	-879	-34	1129	514	14	21	2
1083	-288	689	931	-67	350	855	196	-879	-34	1129	514	14	21	2
1170	-284	832	1093	-48	326	602	183	-862	36	495	422	12	22	4
1223	-266	908	1015	-202	300	414	125	-895	132	6	329	9	18	1
1223	-266	908	1015	-202	300	414	125	-895	132	6	329	9	18	5
1260	-215	947	694	-421	280	332	72	-906	152	-512	180	8	20	8
1260	-215	947	694	-421	280	332	72	-906	152	-512	180	8	20	8
1233	-152	933	298	-587	221	366	78	-955	257	-950	-15	8	18	1
1153	-111	877	268	-634	145	452	84	-1037	431	-1095	-94	8	16	5
1153	-111	877	268	-634	145	452	84	-1037	431	-1095	-94	8	21	5
1038	-54	782	460	-537	100	654	5	-951	663	-1193	-184	10	13	0
1038	-54	782	460	-537	100	815	-55	-756	663	-1193	-184	13	18	3
834	25	556	890	-385	89	815	-55	-756	964	-1144	-272	12	22	6
657	59	294	1193	-463	127	1115	-153	-202	696	-846	-198	13	20	2
657	59	294	1193	-463	127	1115	-153	-202	696	-846	-198	13	20	2
540	71	16	1324	-606	211	1719	-203	733	1065	-195	-131	27	23	0
539	105	-206	1213	-788	292	1821	73	744	1522	-174	10	36	24	3
539	105	-206	1213	-788	292	1821	73	744	1522	-174	10	36	24	3
792	141	-400	918	-1280	341	1305	429	93	1200	-461	-77	56	22	2
1176	168	-521	519	-1738	376	1199	758	109	1200	-461	-77	70	22	1
1176	168	-521	519	-1738	376	1199	758	109	979	-938	-272	70	19	3
1586	161	-587	264	-2055	219	1506	833	326	932	-813	-223	77	20	4
1586	161	-587	264	-2055	219	1495	894	219	932	-813	-223	82	22	6
2075	142	-329	861	-1844	-68	1495	894	219	834	-659	-328	80	23	3
2277	221	314	944	-468	-186	1242	855	43	615	-772	-347	80	21	0
2277	221	314	944	-468	-186	1242	855	43	615	-772	-347	80	21	0
2016	411	954	621	432	-223	1049	630	-83	245	-790	-226	78	14	6
1450	599	1131	368	113	-283	1006	228	-162	291	-795	-64	78	15	1
1450	599	1131	368	113	-283	1006	228	-162	291	-795	-64	78	15	1
1004	623	859	280	-281	-201	1054	-197	-302	384	-665	-48	77	19	3
701	564	429	67	-850	-65	1061	-798	-498	741	-907	76	79	14	5
701	564	429	67	-850	-65	1061	-798	-498	741	-907	76	79	14	6
587	360	-79	-69	-851	186	1139	-867	-493	1302	-796	-36	80	24	4
587	360	-79	-69	-851	186	1122	-308	-393	1385	-643	-110	83	19	7
585	54	-459	176	-831	470	1122	-308	-393	1385	-643	-110	82	18	8
594	-207	-832	363	-1287	539	1005	182	-369	509	-743	-35	91	24	6
594	-207	-832	363	-1287	539	1005	182	-369	509	-743	-35	91	24	6
665	-359	-1013	-445	-1444	481	956	367	-343	-254	-803	70	91	18	11
751	-388	-912	-1224	-1507	403	1086	324	-337	-531	-643	124	91	24	12
751	-388	-912	-1224	-1507	403	1086	324	-337	-531	-643	124	91	24	12
